;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
4,034000;-67,883705;102,820435;2280,849365;3,597482;1,721687;5,655931;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,069000;-68,098930;102,788452;2280,832764;3,639603;1,817313;5,662225;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,103000;-68,290451;102,707771;2280,861084;3,609259;1,688053;5,643789;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,138000;-68,514793;102,726898;2280,864990;3,716564;1,694647;5,654071;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,172000;-68,728233;102,800308;2280,855225;3,659403;1,701195;5,653912;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,207000;-68,920425;102,758331;2280,776855;3,582726;1,703666;5,660254;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,241000;-69,130089;102,695099;2280,835449;3,604229;1,771037;5,638344;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,276000;-69,330269;102,715401;2280,848389;3,647776;1,724373;5,643145;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,310000;-69,560944;102,767509;2280,839111;3,606044;1,725508;5,642339;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,345000;-69,769836;102,727371;2280,806641;3,710065;1,710356;5,639186;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,379000;-69,969315;102,669411;2280,798340;3,566236;1,789371;5,632101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,414000;-70,182335;102,691391;2280,788330;3,503121;1,766573;5,651959;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,448000;-70,379433;102,742912;2280,787354;3,638306;1,769841;5,638615;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,483000;-70,586845;102,718971;2280,783691;3,634415;1,792049;5,636011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,517000;-70,781944;102,666466;2280,795166;3,757901;1,760776;5,639700;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,552000;-70,990517;102,686211;2280,805664;3,662712;1,755700;5,645312;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,586000;-71,209732;102,728798;2280,777100;3,626231;1,830468;5,641862;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,621000;-71,402542;102,685600;2280,767090;3,659904;1,737629;5,652801;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,655000;-71,619865;102,631279;2280,782715;3,551376;1,798869;5,650655;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,690000;-71,819061;102,674538;2280,786133;3,548769;1,881923;5,635061;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,724000;-72,035454;102,730148;2280,768555;3,607369;1,883687;5,640585;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,759000;-72,238564;102,675751;2280,732666;3,587940;1,854081;5,639931;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,793000;-72,430214;102,616096;2280,745117;3,645019;1,800743;5,647009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,828000;-72,656181;102,662811;2280,734131;3,534320;1,838125;5,644558;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
